,title,company_name,link,exp,years_extracted,desc,sourceDomain,formattedIndustries,applicantTrackingSystem,years_nums
0,Backend Software Engineer - Analytics Platform (India),addepar,https://www.linkedin.com/jobs/view/3564643601,Entry level,[],"Who We Are

Addepar’s purpose is to maximize the positive impact of the world’s capital. More than 850 of the world’s leading financial services firms trust Addepar to unlock the power and possibility of informed, data-driven investing and advice. These family offices, wealth managers, banks and institutions use Addepar’s tech and data platform to deliver exceptional value to their clients in a modern, scalable and secure way.

Our clients use Addepar to manage and advise on more than $4 trillion in assets. Our board and investors are some of the best in the business: D1 Capital, WestCap, 8VC and Valor Equity Partners have led our last few rounds.

We’re now expanding Addepar’s business around the globe, with clients in more than 30 countries. We’re constantly doubling down on tech- and data-fueled innovation, and our product and platform roadmap is more ambitious today than ever. We place our clients at the center of everything we do, and see a virtually unlimited set of opportunities to expand our client footprint and deepen the value we can unlock by building together.

Addepar is a Forbes Fintech 50 company and an honored member of the CB Insights Fintech 250. Addepar embraces a global flexible workforce model with offices in Silicon Valley, New York City, Salt Lake City, Chicago, London, England, Edinburgh, Scotland and Pune, India.
Marketplace and brokerage services provided by Acervus Securities, Inc., an SEC registered broker‑dealer and member FINRA / SIPC.
The Role

We are currently seeking a Software Engineer to join our Analytics Platform Team! The Analytics Platform Team is the engineering team responsible for internal and external business analytics at Addepar.

Engineering is at the core of Addepar. If want to do the best work of your career and enjoy shipping high quality code to production every day, we’re eager to meet you!

What You’ll Do
Help financial professionals make sense of trillions of dollars in assets.Design and implement new experimental client facing features.Create and support pipelines that transfer hundreds of millions of rows of data.Collaborate with product managers, engineers and customers.
Who You Are
A humble person who believes it's okay to fail as long as you try your best and learn from your mistakes.You can easily convey complex ideas both verbally and in written form.You love learning, believe in the right tool for the job and can pick up new technologies with ease.You have experience with high traffic systems dealing with significant amounts of data.
Our Values 
Act Like an Owner - Think and operate with intention, purpose and care. Own outcomes.Build Together - Collaborate to unlock the best solutions. Deliver lasting value. Champion Our Clients - Exceed client expectations. Our clients’ success is our success. Drive Innovation - Be bold and unconstrained in problem solving. Transform the industry. Embrace Learning - Engage our community to broaden our perspective. Bring a growth mindset. 
In addition to our core values, Addepar is proud to be an equal opportunity employer. We seek to bring together diverse ideas, experiences, skill sets, perspectives, backgrounds and identities to drive innovative solutions. We commit to promoting a welcoming environment where inclusion and belonging are held as a shared responsibility.

To ensure the health and safety of all Addepeeps and our prospective candidates, we have instituted a virtual interview and onboarding experience.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.",boards.greenhouse.io,['Computer Software'],Greenhouse,[]
1,software engineering specialist,ge-digital,https://www.linkedin.com/jobs/view/3634317044,Entry level,[],"



Job Description Summary Responsible for designing, building, delivering and maintaining software applications & services. Working in the areas of python web development. Responsible for software lifecycle including activities such as requirement analysis, documentation/procedures and implementation.
 
Job Description 

Roles And Responsibilities
In this role, you will:
 Identify the scope of the work, provide initial estimate and justify the estimate with facts Demonstrate the understanding of Agile software development lifecycle and able to distinguish the core inputs and outputs in each cycle. Engage in technical discussions; participate in technical designs and present technical ideas through white boarding Execute in a fast pace delivery mode and focus in delivering tasks to meet the product release goal Maintain code quality through best practices, unit testing and code quality automation Demonstrate the ability to make informed technology choices after due diligence and impact assessment Understand whole product, its modules and the interrelationship between them Articulate the need for scalability and understand the importance of improving quality through testing. Be an expert in writing code in python using OOP that meets standards and delivers the desired functionality using the technology selected for the project Work with Product Line Leaders (PLLs) to understand product requirements & visionWrite code that meets standards and delivers desired functionality using the technology selected for the project

Education Qualification

For Roles Outside USA
Bachelor's Degree in Electrical/Computer Science

Desired CharacteristicsTechnical Expertise
 Strong knowledge of Python coding principles Understanding of web services and API (REST, SOAP, WSDL etc.) Academic project on web development using HTML5, JavaScript, and CSS. Experience with Angular or React is a plus.

Business Acumen
 Has the ability to break down problems and estimate time for development tasks. Understands the technology landscape, up to date on current technology trends and new technology, brings new ideas to the team. Displays understanding of the project's value proposition for the customer. Shows commitment to deliver the best value proposition for the targeted customer. Learns organization vision statement and decision making framework. Able to understand how team and personal goals/objectives contribute to the organization vision

Personal/Leadership Attributes
 Voices opinions and presents clear rationale. Uses data or factual evidence to influence. Learns organization vision statement and decision making framework. Able to understand how team and personal goals/objectives contribute to the organization vision. Completes assigned tasks on time and with high quality. Takes independent responsibility for assigned deliverables. Has the ability to break down problems and estimate time for development tasks. Seeks to understand problems thoroughly before implementing solutions. Asks questions to clarify requirements when ambiguities are present. Identifies opportunities for innovation and offers new ideas. Takes the initiative to experiment with new software frameworks Adapts to new environments and changing requirements. Pivots quickly as needed. When coached, responds to need & seeks info from other sources

Note
This Job Description is intended to provide a high level guide to the role. However, it is not intended to amend or otherwise restrict/expand the duties required from each individual employee as set out in their respective employment contract and/or as otherwise agreed between an employee and their manager.

 


Additional Information 

Relocation Assistance Provided: Yes
",jobs.gecareers.com,"['Computer & Network Security', 'Computer Software', 'Information Technology & Services']",,[]
2,Engineer,open-systems-international,https://www.linkedin.com/jobs/view/3636251141,Entry level,"['than 10% travel per year ).', 'Engineering.1 to 2 years experienced.Power U']","Open Systems International, Inc. (OSI), An AspenTech Business, is a fast-paced, growing, high technology company, headquartered in Medina, Minnesota. As a world leader in the Operations Technology (OT) field, OSI develops and supplies state-of-the-art energy management, optimization and control software solutions to energy utility companies worldwide.

The Role

Open Systems International, Inc. (OSI), An AspenTech Business, is a fast-paced, growing, high technology company, headquartered in Medina, Minnesota. As a world leader in the Operations Technology (OT) field, OSI develops and supplies state-of-the-art energy management, optimization, and control software solutions to energy utility companies worldwide. This role is based out of Bangalore.

Customer Support Engineers provide ongoing support to complex OT systems throughout the world, ensuring reliability, system performance and world-class customer satisfaction. This challenging and fast paced environment provides opportunity for engineers to expand their technical knowledge in all aspects of the energy utility industry by solving complex, real world issues for our customer base.

Your Impact
AMC activities at customer site.Troubleshoot, resolve, or escalate, and document customer incidents in a timely, efficient and professional manner according to contract maintenance and warrant.Document all customer interaction.Actively contributing ideas for better customer service and continuously improve the quality of service provided.Showing a passion for continued learning, staying abreast of new technology and trends.Work with other technical teams for the inputs and their support in day-to-day activities.

What You'll Need
Bachelor’s Degree in Electrical/Computer/Software Engineering.1 to 2 years experienced.Power Utility experience preferred.Exposure to SCADA/control systems – Knowledge on OSI Monarch SCADA system is an added advantage.Good knowledge of SCADA protocols like IEC101, IEC104, MODBUS and DNP.Good knowledge of SQL databases viz. SQL Server, MySQL, PostgreSQL, Oracle.Must be well familiar with basic networking skills (Windows OS, Red hat OS Switches and Firewall troubleshooting knowledge).Excellent Customer Management Skills.Excellent communication and writing skills, and the ability to facilitate own meetings as necessary.Good troubleshooting skills.Knowledge of computer programming. An introduction to C programming is a minimum.Ability to work on several projects parallelly in a fast-paced environment.Should be flexible to travel to domestic and international customer sites (less than 10% travel per year).",aspentech.wd5.myworkdayjobs.com,['Computer Software'],Workday,"[[10], [1, 2]]"
3,Software Engineer - Detection,arkose-labs,https://www.linkedin.com/jobs/view/3634135568,Entry level,"['onal) experience 2+ years experience with mic', ', Java, or Python1+ years experience in front', 'You Need to have 3+ years experience in a com', 'script framework.2+ years of database (NoSQL']","The mission of Arkose Labs is to create an online environment where all consumers are protected from online spam and abuse. Recognized by G2 as the 2023 Leader in Bot Detection and Mitigation, with the highest score in customer satisfaction and largest market presence four quarters running, Arkose Labs offers the world's first $1M warranties for credential stuffing and SMS toll fraud. With 20% of our customers being Fortune 500 companies, our AI-powered platform combines powerful risk assessments with dynamic threat response to undermine the strategy of attack, all while improving good user throughput. Headquartered in San Mateo, CA, with offices in London, Costa Rica, and Brisbane, Australia, Arkose Labs protects enterprises from cybercrime and abuse.
What You’ll Be Doing
Work on high-traffic SaaS services running at a global scale, serving hundreds of millions of requests per day and increasingWork on building highly available, zero downtime middleware and front-end products.Help build software that spans from the browser all the way down to analytics data pipelines - our engineers work to support a dedicated data science/blue watch teamWork within an agile, cross-functional team (SWE, SRE, QE) to build out and own services and projects, from requirements + specs to release and maintenanceHelp with migrating from a monolithic system and AWS lambdas to a microservices-based architecture running on Kubernetes
What We Want From You
Need to have
3+ years experience in a commercial environment using back-end programming languages - e.g. Golang, Node.js, Java, or Python1+ years experience in front-end programming languages. E.g: React, Vue, or any popular javascript framework.2+ years of database (NoSQL and Relational) experience 2+ years experience with microserviceStrong knowledge of web/HTTP concepts and methodologies - DNS, TLS, browser caching, CDNs (e.g. Cloudflare/CloudFront)Experience with agile development (Scrum/Kanban)
Nice to have
Experience with implementing and maintaining CI/CD pipelinesExperience with Docker/containers, and ideally container orchestration (e.g. Kubernetes)Basics of Micro Front End architecture. 
Why Arkose Labs?
Join an early-stage, fast-growing startup that is expanding in India where you get to make a mark being amongst the first hires. Join a company with pioneering technology built by passionate and ambitious people and work with some of the biggest names like Microsoft, OpenAI, EA, GitHub, Twitch, Roblox, and Twilio among others.
We value your unique contributions, perspectives, and experiences. Be part of a diverse and high-performing environment that prioritizes collaboration, excellence, and inclusion. We hire the best, focus on their professional development, and offer support for continuing education.
We Value
People - independent thinkers making data-driven decisions and taking project ownershipTeamwork - building trust, respect, and integrity to openly communicate and constructively challenge one anotherCustomer Focus - customer empathy and problem-solving obsessionExecution - actions with precision, professionalism, and urgencySecurity - our lens for implementing processes, procedures, and programs
Arose Labs is an Equal Opportunity Employer that makes employment decisions without regard to race, color, religious creed, national origin, ancestry, sex, pregnancy, sexual orientation, gender, gender identity, gender expression, age, mental or physical disability, medical condition, military or veteran status, citizenship, marital status, genetic information, or any other characteristic protected by applicable law. In addition, Arkose Labs will provide reasonable accommodations for qualified individuals with disabilities.",boards.greenhouse.io,['Computer & Network Security'],Greenhouse,"[[2], [], [3], [2]]"
4,System Integration and Test Engineer (SIT) - XR Research,qualcomm,https://www.linkedin.com/jobs/view/3635924190,,"['atics along with 2+ years of industry experie', 'e VR Company of the year at AIXR’s 4th Annua']","Company

Qualcomm India Private Limited

Job Area

Engineering Group, Engineering Group > Software Engineering

General Summary

Qualcomm is taking its traditional strengths in digital wireless technologies into exciting new fields such as Augmented Reality (AR) and Virtual Reality (VR). Come join the team that helped Qualcomm win Innovative VR Company of the Year at AIXR’s 4th Annual VR Awards.

The XR Research SIT team builds and tests different XR perception and rendering technologies. The team interacts closely with systems engineers and software developers beginning with concept reviews and following through system implementation, tuning, testing, and demonstration. Candidates should be flexible in their work assignments as priorities can change quickly in this fast-paced environment. Team members can also expect to have some interactions with external customers through trade shows and/or on-site demonstrations.

Responsibilities
Develop test plan, test methodologies, metrics to validate AR/VR/MR technologies.Create testing environments by utilizing software and hardware tools including robots, motion capture sensors, and other equipment as required.Capture dataset, develop test procedures and automations, execute tests, and isolate problems.Possibly present and talk about prototypes in trade shows and other similar venues.

Minimum Qualifications
Bachelor’s/Master’s in Computer Science Engineering, Electrical Engineering, Physics or Mathematics along with 2+ years of industry experience.Experience in data analysis, automation, and scriptingExperience in designing test infrastructure with robots, motion capture sensors and/or use computer vision technologies to validate XR perception and rendering algorithms.Experience working with and testing applications on Windows, Linux and Android.Experience in C++/C, Python, Shell ScriptingGood at communicating complex technical constructs to general audience

Preferred Qualifications
Domain knowledge in Augmented Reality, Virtual Reality or Mixed RealityExperience in verification and optimization of real-time systems in the field of computer vision, image/video processing, and graphics.

Computer Vision, Test Automation, Test Planning, Camera, Image processing, XR, AR, VR, MR, Robotics, Hand-tracking, Graphics

Minimum Qualifications
 Bachelor's degree in Engineering, Information Systems, Computer Science, or related field.

Applicants: If you need an accommodation, during the application/hiring process, you may request an accommodation by sending email to accommodationsupport

Although this role has some expected minor physical activity, this should not deter otherwise qualified applicants from applying. If you are an individual with a physical or mental disability and need an accommodation during the application/hiring process, please call Qualcomm’s toll-free number found here for assistance. Qualcomm will provide reasonable accommodations, upon request, to support individuals with disabilities as part of our ongoing efforts to create an accessible workplace.

Qualcomm is an equal opportunity employer and supports workforce diversity.

Qualcomm expects its employees to abide by all applicable policies and procedures, including but not limited to security and other requirements regarding protection of Company confidential information and other confidential and/or proprietary information, to the extent those requirements are permissible under applicable law.

To all Staffing and Recruiting Agencies: Our Careers Site is only for individuals seeking a job at Qualcomm. Staffing and recruiting agencies and individuals being represented by an agency are not authorized to use this site or to submit profiles, applications or resumes, and any such submissions will be considered unsolicited. Qualcomm does not accept unsolicited resumes or applications from agencies. Please do not forward resumes to our jobs alias, Qualcomm employees or any other company location. Qualcomm is not responsible for any fees related to unsolicited resumes/applications.

If you would like more information about this role, please contact Qualcomm Careers.",qualcomm.wd5.myworkdayjobs.com,"['Computer Software', 'Semiconductors', 'Wireless']",Workday,"[[2], []]"
5,Developer,wipro,https://www.linkedin.com/jobs/view/3634708503,,[],"Role Purpose

The purpose of this role is to design, test and maintain softwareprograms for operating systems or applications which needs to bedeployed at a client end and ensure its meet 100% quality assuranceparameters

DoInstrumental in understanding the requirements and design ofthe product/ softwareDevelop software solutions by studying information needs,studying systems flow, data usage and work processesInvestigating problem areas followed by the software developmentlife cycleFacilitate root cause analysis of the system issues and problemstatementIdentify ideas to improve system performance and impactavailabilityAnalyze client requirements and convert requirements to feasibledesignCollaborate with functional teams or systems analysts who carryout the detailed investigation into software requirementsConferring with project managers to obtain information onsoftware capabilitiesPerform coding and ensure optimal software/ moduledevelopment Determine operational feasibility by evaluating analysis,problem definition, requirements, software development and proposedsoftwareDevelop and automate processes for software validation by setting up and designing test cases/scenarios/usage cases, andexecuting these casesModifying software to fix errors, adapt it to new hardware,improve its performance, or upgrade interfaces.Analyzing information to recommend and plan the installation ofnew systems or modifications of an existing systemEnsuring that code is error free or has no bugs and test failurePreparing reports on programming project specifications,activities and statusEnsure all the codes are raised as per the norm defined forproject / program / account with clear description and replicationpatternsCompile timely, comprehensive and accurate documentation andreports as requestedCoordinating with the team on daily project status and progressand documenting itProviding feedback on usability and serviceability, trace theresult to quality risk and report it to concerned stakeholdersStatus Reporting and Customer Focus on an ongoing basis withrespect to project and its executionCapturing all the requirements and clarifications from theclient for better quality workTaking feedback on the regular basis to ensure smooth and ontime deliveryParticipating in continuing education and training to remaincurrent on best practices, learn new programming languages, and betterassist other team members.Consulting with engineering staff to evaluate software-hardwareinterfaces and develop specifications and performance requirementsDocument and demonstrate solutions by developing documentation,flowcharts, layouts, diagrams, charts, code comments and clear codeDocumenting very necessary details and reports in a formal wayfor proper understanding of software from client proposal toimplementation Ensure good quality of interaction with customer w.r.t. e-mailcontent, fault report tracking, voice calls, business etiquette etcTimely Response to customer requests and no instances ofcomplaints either internally or externally

Stakeholder Interaction

Stakeholder Type

Stakeholder Identification

Purpose of Interaction

Internal

Lead Software Developer and Project Manager

Regular reporting & updates

Software Developers 

For work coordination and support in providing testing solutions

External

Clients

Provide apt solutions and support as per the requirement

 

 

Display

Lists the competencies required to perform this role effectively:Functional Competencies/ SkillLeveraging Technology – Knowledge of current and upcomingtechnology along with expertise in programming (automation, tools andsystems) to build efficiencies and effectiveness in own function/ Clientorganization – CompetentProcess Excellence - Ability to follow the standards and norms toproduce consistent results, provide effective control and reduction ofrisk – ExpertTechnical knowledge – knowledge of various programminglanguages, tools, quality management standards and processes - Expert

Competency Levels

Foundation

Knowledgeable about the competency requirements. Demonstrates (inparts) frequently with minimal support and guidance.

Competent

Consistently demonstrates the full range of the competencywithout guidance. Extends the competency to difficult and unknownsituations as well.

Expert

Applies the competency in all situations and is serves as a guideto others as well.

Master

Coaches others and builds organizational capability in thecompetency area. Serves as a key resource for that competency and isrecognised within the entire organization.

 

 Behavioral CompetenciesFormulation & PrioritizationInnovationManaging ComplexityExecution ExcellencePassion for Results

Deliver

No.

Performance Parameter

Measure

Continuous Integration, Deployment & Monitoring of Software

100% error free on boarding & implementation, throughput %,Adherence to the schedule/ release plan

Quality & CSAT

On-Time Delivery, Manage software, Troubleshoot queries

Customer experience, completion of assigned certifications for skillupgradation

MIS & Reporting

100% on time MIS & report generation

Automotive",careers.wipro.com,['Information Technology & Services'],,[]
6,Software Developer,hexagon-asset-lifecycle-intelligence,https://www.linkedin.com/jobs/view/3594274497,Associate,['n by the end of the year . Simultaneously new'],"Responsibilities

Design and implementation of new functionalities in existing software products.

Quickly troubleshoot the issues identified in existing functionalities.

Programming in C++, C# & WPF.

Evaluating customer problems and developing solutions to them.

Working in an agile environment.

Educational Qualifications

Bachelor/Master degree in computer science engineering

Overview

PIONEERS primarily focus on ISIP and DTO. The team has to implement data conversion services that work on the clipper platform. This is necessary to support SDx porting to clipper, so that SDx can successfully move its existing customers onto clipper platform. This microservices work is bounded with strict deadlines.

The IFC service has to be completed by Q3 and the other services are lined up for completion by the end of the year. Simultaneously new enhancements are being targeted for desktop ISIP. The enhancements to support all these projects have to be done on a rapid scale. Need to fill this slot as soon as possible so that we could adhere to the promised deadlines.

Skills Required

Good programming skills with experience in C++/C#.

Experience in development of desktop applications.

Experience with Git or a similar distributed version control system

Understands good coding standards and follow them consistently.

Understanding of OOPS.

Good to have 3D Geometry domain knowledge but not mandatory.

Linux and micro services development experience

Docker and Kubernetes knowledge is an added advantage.

Diversity Statement

At Hexagon, we believe that diverse and inclusive teams are critical to the success of our people and our business. Everyone is welcome—as an inclusive workplace, we do not discriminate. In fact, we embrace differences and are fully committed to creating equal opportunities, an inclusive environment, and fairness for all.",careersindia-hexagon.icims.com,"['Information Technology & Services', 'Computer Software', 'Oil & Energy']",iCIMS,[[]]
7,Embedded Engr I,honeywell,https://www.linkedin.com/jobs/view/3634710233,Entry level,[],"Innovate to solve the world's most important challenges

Develop firmware for a variety of embedded products. You will create project and technical reports as required and help define product architecture as needed. You will participate in schematic/layout review process and test and evaluate prototypes from initial engineering samples to mass production. You will help maintain firmware servers and develop tools for internal use, including scripts and basic hardware interfaces. Aid in the design and development of equipment and systems, and redesign of existing systems to fulfill the needs of Honeywell's customers.

Key Responsibilities
Develop softwareProgrammingManage software applicationsCreation of instructional technical manuscriptsCreate reports
YOU MUST HAVE
Bachelor’s degree from an accredited institution in a technical discipline such as the sciences, technology, engineering or mathematics
WE VALUE
Familiarity with computer languages, C/C++Experience working in embedded software architecturesSolid communication and collaborative skillsKnowledge of wireless technologySome relevant experience
Additional Information
JOB ID: HRD904169Category: EngineeringLocation: HW Camp II,Bldgs 9A&9B,Plot C2,RMZ Ecoworld,Varturhobli,Sarjapur Marathahalli Outer Ring Road,Bangalore,KARNATAKA,560103,IndiaExempt Engineering (GLOBAL)",careers.honeywell.com,['Electrical & Electronic Manufacturing'],,[]
8,Software Engineer,infor,https://www.linkedin.com/jobs/view/3636250495,Entry level,[],"Infor Values
Our Guiding Principles set the standard for how we work with one another. They define who we are as an organization and guide everything we do. By applying the same shared values that unleash prosperity in free societies—such as value creation, integrity, responsibility, free speech, and toleration—we encourage one another to take initiative and to challenge the status quo.
We have a relentless commitment to a culture based on a business philosophy called Principle Based Management™ (PBM™). Informed by the principles that allow a free and open society to flourish, PBM™ prepares individuals to innovate, improve, and transform while fostering a healthy, growing organization that creates long-term value for its clients and supporters and fulfillment for its employees.",careers.infor.com,['Computer Software'],,[]
9,Staff Engineer - Backend,nutanix,https://www.linkedin.com/jobs/view/3635969417,Mid-Senior level,['ted fields with 5-8 years of relevant industr'],"Staff Engineer-DR and Backup
 Hungry, Humble, Honest, with Heart 
 The Opportunity 
The Disaster Recovery and Backup team is responsible for building next-generation data protection and disaster recovery solutions for hybrid/multi-cloud datacenters. The data protection software platforms enables customers to protect, replicate and recover workloads in a hybrid/multi cloud environment. We are looking for passionate developers to work on scalable distributed systems. You will be contributing on design and development of scalable distributed systems covering various layers (Distributed storage layer, Control Plane and Management Plane) for both hybrid and multi cloud environments.
 Your Role 
 Work on next-generation disaster recovery and data protection software platform enabling customers to protect and recover Business-critical applications.  Design and develop a scalable, distributed system for hybrid and multi cloud environments.  Provide technical leadership for an end-to-end high quality and performant software development and delivery.  Work with Product managers, architects, and other technical leads to understand requirements and develop innovative solutions.  Design and develop software for a converged compute + storage platform for the secondary and tertiary data.  Develop a keen understanding of complex distributed systems, and design creative solutions for customer requirements.  Engage with customers, partners, and support to provide world class software and support experience to end customers. 
What You’ll Bring
 Design tradeoffs in building clustered, high- performance, fault-tolerant distributed systems software.  Bachelor's degree or Master’s degree in Computer Science or related fields with 5-8 years of relevant industry experience.  Love of programming, ability, and passion to solve complex problems.  Strong experience in C++ and systems programming. Python or Go would be an added bonus.  Experience building scalable fault tolerant distributed or cloud-native systems.  Familiarity with concepts of disaster recovery, data protection, distributed data storage, clustered, high-performance, and fault-tolerant distributed systems software.  Experience working in an Agile/Scrum development process, including DevOps and CI/CD.  Experience with Hadoop, MapReduce, Cassandra, Zookeeper, and other large-scale distributed systems preferred.  Have a bias for action and be able to rapidly implement and iterate solutions to complex technical problems spanning across multiple teams and technologies. Comfortable working in a fast-moving agile environment. 
About Us
Founded in 2009 and headquartered in San Jose, California, Nutanix is a passionate team of 6000+ employees worldwide. Our people are the heartbeat of #LifeAtNutanix and one of the many things that makes Nutanix a great place to work at. We share an intellectual curiosity, a bias for action, and an obsession for our customers. We are builders and problem solvers with an entrepreneurial spirit. Above all, we celebrate what makes each of us unique.
We’re growing and disrupting the computing industry. Join us and make your mark.
About Our Business
Nutanix is a global leader in cloud software and a pioneer in hyperconverged infrastructure solutions, making computing invisible anywhere. Companies around the world use Nutanix software to leverage a single platform to manage any app, at any location, at any scale for their private, hybrid and multi-cloud environments.",nutanix.eightfold.ai,['Computer Software'],,"[[5, 8]]"
