strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue
5200,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE5200.00,0,0,0,0,0,0,0,0,7725,7725,375,6040.95,7350,6687.85,11540.05
5300,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE5300.00,0,0,0,0,0,0,0,0,8250,7350,7350,5627.1,7350,6930.95,11540.05
5400,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE5400.00,0,0,0,0,0,0,0,0,7950,7350,7350,5533.7,7350,6829.65,11540.05
5500,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE5500.00,0,0,0,0,0,0,0,0,7725,7350,375,5744.3,7350,6622.95,11540.05
5600,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE5600.00,0,0,0,0,0,0,0,0,7950,7350,7350,5353.2,7350,6600.2,11540.05
5700,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE5700.00,0,0,0,0,0,0,0,0,7950,7350,7350,5262.95,7350,6490.3,11540.05
5800,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE5800.00,0,0,0,0,0,0,0,0,7950,7350,7350,5172.7,7350,6379.7,11540.05
5900,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE5900.00,0,0,0,0,0,0,0,0,8250,7350,7350,5085.6,7350,6269.45,11540.05
6000,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE6000.00,2,0,0,0,0,0,0,0,15450,15075,375,5445.65,225,5575.55,11540.05
6100,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE6100.00,0,0,0,0,0,0,0,0,8250,7350,7350,4899.6,7350,6050.05,11540.05
6200,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE6200.00,0,0,0,0,0,0,0,0,7950,7350,7350,4809.35,7350,5939.8,11540.05
6300,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE6300.00,0,0,0,0,0,0,0,0,7950,7350,7350,4719.1,7350,5829.55,11540.05
6400,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE6400.00,0,0,0,0,0,0,0,0,7950,7350,7350,4634.35,7350,5727.5,11540.05
6500,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE6500.00,0,0,0,0,0,0,0,0,15300,14850,75,4821.1,7350,5311.0,11540.05
6600,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE6600.00,0,0,0,0,0,0,0,0,7725,7350,375,4709.4,7350,5219.2,11540.05
6700,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE6700.00,0,0,0,0,0,0,0,0,7725,8100,375,4615.9,7350,5120.2,11540.05
6800,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE6800.00,0,0,0,0,0,0,0,0,7725,7350,375,4520.85,7350,5015.3,11540.05
6900,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE6900.00,0,0,0,0,0,0,0,0,7725,7350,375,4425.75,7350,4912.25,11540.05
7000,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE7000.00,1,0,0,0,0,0,0,0,15375,14925,75,4353.95,75,4577.9,11540.05
7100,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE7100.00,0,0,0,0,0,0,0,0,7725,7350,375,4235.8,7350,4702.2,11540.05
7200,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE7200.00,0,0,0,0,0,0,0,0,7725,7350,375,4140.85,7350,4597.2,11540.05
7300,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE7300.00,0,0,0,0,0,0,0,0,7725,7350,375,4045.7,7350,4492.25,11540.05
7400,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE7400.00,0,0,0,0,0,0,0,0,7725,7350,375,3950.85,7350,4386.95,11540.05
7500,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE7500.00,30,0,0,0,0,0,0,0,15450,15075,75,3995.8,225,4040.05,11540.05
7600,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE7600.00,0,0,0,0,0,0,0,0,7725,7350,375,3760.7,7350,4174.25,11540.05
7700,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE7700.00,0,0,0,0,0,0,0,0,7725,7350,375,3665.85,7350,4069.25,11540.05
7800,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE7800.00,0,0,0,0,0,0,0,0,7725,7350,375,3570.8,7350,3964.8,11540.05
7900,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE7900.00,0,0,0,0,0,0,0,0,7725,7350,375,3475.85,7350,3859.05,11540.05
8000,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE8000.00,942,-5,-0.5279831045406547,6,0,3540,10,0.28328611898017,15600,15600,75,3498.85,75,3512.45,11540.05
8000,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020CE8000.00,1074,3,0.2801120448179272,8,0,3561,45.59999999999991,1.2971496842464558,1125,3750,75,3502.25,75,3531.9,11540.05
8100,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE8100.00,0,0,0,0,0,0,0,0,7725,7350,375,3284.45,7350,3644.75,11540.05
8200,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE8200.00,1,0,0,0,0,0,0,0,7725,7350,375,3190.95,7350,3539.8,11540.05
8300,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE8300.00,0,0,0,0,0,0,0,0,7725,7725,375,3096.0,7350,3433.8,11540.05
8400,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020CE8400.00,0,0,0,0,0,0,0,0,7725,7725,375,3001.0,7350,3329.8,11540.05
