strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue
4600,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020PE4600.00,18,-1,-5.2631578947368425,1,72.16,6.05,3,98.36065573770493,4650,0,450,3.05,0,0,11540.05
5000,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020PE5000.00,332,0,0.0,0,0.0,0.0,0,0.0,14700,0,6900,3.05,0,0,11540.05
5200,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE5200.00,30,2,7.142857142857143,3,186.91,0.2,-0.14999999999999997,-42.85714285714285,25575,21600,2325,0.2,75,0.4,11540.05
5300,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE5300.00,0,0,0.0,0,0.0,0.0,0,0.0,7650,10950,2400,0.2,150,1,11540.05
5400,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE5400.00,0,0,0.0,0,0.0,0.0,0,0.0,7650,7650,2400,0.2,150,1,11540.05
5500,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020PE5500.00,15,0,0.0,0,0.0,0.0,0,0.0,11550,0,4050,3.05,0,0,11540.05
5500,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE5500.00,0,0,0.0,0,0.0,0.0,0,0.0,25650,14775,2400,0.2,900,0.7,11540.05
5600,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE5600.00,0,0,0.0,0,0.0,0.0,0,0.0,7650,6075,2400,0.2,75,0.8,11540.05
5700,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE5700.00,0,0,0.0,0,0.0,0.0,0,0.0,7650,6075,2400,0.2,75,0.8,11540.05
5800,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE5800.00,0,0,0.0,0,0.0,0.0,0,0.0,7650,6375,2400,0.2,75,0.8,11540.05
5900,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE5900.00,0,0,0.0,0,0.0,0.0,0,0.0,7650,11250,2400,0.2,150,1,11540.05
6000,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE6000.00,234,-4,-1.680672268907563,6,159.7,0.3,-0.04999999999999999,-14.285714285714283,60150,34875,8400,0.2,600,0.4,11540.05
6000,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020PE6000.00,874,0,0.0,0,0.0,0.0,0,0.0,43275,0,23700,3.05,0,0,11540.05
6000,24-Jun-2021,NIFTY,OPTIDXNIFTY24-06-2021PE6000.00,4,0,0.0,0,0.0,0.0,0,0.0,525,0,525,6.65,0,0,11540.05
6000,25-Mar-2021,NIFTY,OPTIDXNIFTY25-03-2021PE6000.00,2,0,0.0,0,0.0,0.0,0,0.0,21825,0,225,3.15,0,0,11540.05
6100,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE6100.00,0,0,0.0,0,0.0,0.0,0,0.0,7650,11400,2400,0.2,150,1,11540.05
6200,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE6200.00,0,0,0.0,0,0.0,0.0,0,0.0,7650,11400,2400,0.2,150,1,11540.05
6300,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE6300.00,0,0,0.0,0,0.0,0.0,0,0.0,7650,11400,2400,0.2,150,1,11540.05
6400,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE6400.00,0,0,0.0,0,0.0,0.0,0,0.0,7650,11400,2400,0.2,150,1,11540.05
6500,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020PE6500.00,63,0,0.0,0,0.0,0.0,0,0.0,7575,0,7575,3.05,0,0,11540.05
6500,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE6500.00,626,91,17.009345794392523,2967,139.26,0.25,0,0.0,90375,46200,17700,0.15,3600,0.25,11540.05
6600,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE6600.00,0,0,0.0,0,0.0,0.0,0,0.0,7650,12750,2400,0.2,150,1,11540.05
6700,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE6700.00,1,1,0.0,1,163.89,2.65,-489.05,-99.46105348789914,7725,13050,75,0.25,150,1,11540.05
6800,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE6800.00,0,0,0.0,0,0.0,0.0,0,0.0,7650,12750,2400,0.2,150,1,11540.05
6900,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE6900.00,0,0,0.0,0,0.0,0.0,0,0.0,7650,12600,2400,0.2,1500,2.8,11540.05
7000,31-Dec-2020,NIFTY,OPTIDXNIFTY31-12-2020PE7000.00,2039,0,0.0,0,0.0,0.0,0,0.0,49725,0,32850,3.1,0,0,11540.05
7000,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE7000.00,670,-9,-1.3254786450662739,1131,124.08,0.3,0,0.0,87075,35850,150,0.4,1500,0.5,11540.05
7100,24-Sep-2020,NIFTY,OPTIDXNIFTY24-09-2020PE7100.00,0,0,0.0,0,0.0,0.0,0,0.0,7650,12600,2400,0.2,1500,2.8,11540.05
